Teamid,Teamsize,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Team1,10,,1,,,2,,
Team2,15,,,1,,2,,
Team3,12,,1,,,,2,
Team4,9,,,2,1,,,
Team5,11,,2,1,,,,
Team6,13,,,,,1,2,
Team7,5,,1,,,,2,
Team8,4,,2,1,,,,
Team9,3,,,1,,,2,
Team10,10,,,,2,,1,
Team11,11,,1,,,2,,
Team12,19,,,2,1,,,
Team13,20,,,1,2,,,
Team14,6,,2,,,,1,
Team15,18,,,,2,1,,
Team16,25,,,2,1,,,
Team17,12,,,1,,2,,
Team18,8,,,,2,,1,
Team19,13,,,2,,1,,
Team20,22,,2,,1,,,
Team21,23,,1,,,,2,
Team22,13,,,2,,,1,
Team23,19,,,1,2,,,
Team24,9,,2,,,1,,
Team25,15,,,,1,,2,
Team26,20,,,2,,,1,
Team27,12,,,,,2,1,
Team28,15,,,2,1,,,
Team29,9,,,1,,2,,
Team30,10,,,,2,,1,
